Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼
1,박성한,26 SS,2.52,26,2.69,-0.17,121,121,99,21,44,10,1,2,62,21,3,1,20,1,0,10,1,0,1,0.444,0.537,0.626,1.163,0.279,222.9,2.52
2,문현빈,26 LF,2.21,24,1.91,0.29,112,112,91,20,32,7,2,5,58,22,1,1,19,2,0,12,4,0,0,0.352,0.473,0.637,1.110,0.254,214.2,2.21
3,류지혁,26 2B,1.87,26,1.88,-0.02,112,111,97,19,37,7,2,3,57,16,9,1,15,0,1,16,2,0,0,0.381,0.464,0.588,1.052,0.232,189.5,1.87
4,페라자,26 RF,1.72,26,1.92,-0.20,122,122,100,27,38,9,0,4,59,18,5,1,20,0,1,17,2,0,2,0.380,0.475,0.590,1.065,0.235,199.1,1.72
5,김도영,26 3B,1.70,27,1.40,0.30,122,121,102,21,25,5,0,10,60,27,1,0,17,2,2,19,4,0,1,0.245,0.361,0.588,0.949,0.180,153.7,1.70
6,박민우,26 2B,1.60,25,1.40,0.20,106,106,91,19,31,8,0,1,42,18,12,3,12,2,0,13,2,0,1,0.341,0.425,0.462,0.887,0.179,148.9,1.60
7,김주원,26 SS,1.48,26,1.01,0.47,119,118,103,13,27,4,0,3,40,5,6,0,10,5,0,18,0,1,0,0.262,0.356,0.388,0.744,0.128,105.4,1.48
8,박찬호,26 SS,1.46,27,1.30,0.17,123,119,104,23,32,6,0,2,44,9,9,1,16,0,1,20,4,3,0,0.308,0.400,0.423,0.823,0.155,131.9,1.46
9,오스틴,26 1B,1.37,26,1.53,-0.16,122,122,107,22,38,5,1,6,63,22,0,1,14,0,1,13,2,0,1,0.355,0.426,0.589,1.015,0.211,192.3,1.37
