Name,Team,OBP,SLG,OPS,BB%,K%,ISO,WAR▼,cluster,유형
홍창기,23 RF,0.444,0.412,0.856,0.137,0.129,0.08,6.89,2,컨택형
노시환,23 3B,0.388,0.541,0.929,0.124,0.198,0.243,6.74,0,출루형
양의지,23 C,0.396,0.474,0.87,0.112,0.11,0.169,6.18,2,컨택형
김혜성,23 2B,0.396,0.446,0.842,0.092,0.124,0.111,6.09,2,컨택형
구자욱,23 RF,0.407,0.494,0.901,0.103,0.157,0.158,5.43,2,컨택형
최정,23 3B,0.388,0.548,0.936,0.107,0.158,0.251,5.42,0,출루형
오지환,23 SS,0.371,0.396,0.767,0.127,0.163,0.128,5.17,2,컨택형
오스틴,23 1B,0.376,0.517,0.893,0.091,0.129,0.204,5.13,0,출루형
박민우,23 2B,0.381,0.405,0.786,0.079,0.112,0.089,4.53,2,컨택형
손아섭,23 DH,0.393,0.443,0.836,0.082,0.11,0.104,4.46,2,컨택형
정수빈,23 CF,0.375,0.371,0.746,0.11,0.108,0.084,4.4,1,혼합형
박동원,23 C,0.334,0.443,0.777,0.102,0.187,0.194,4.26,3,삼진형
박찬호,23 SS,0.356,0.378,0.734,0.079,0.11,0.077,4.23,1,혼합형
문보경,23 3B,0.377,0.448,0.825,0.107,0.153,0.147,4.12,2,컨택형
박건우,23 RF,0.397,0.48,0.877,0.105,0.133,0.161,4.05,2,컨택형
소크라테스,23 CF,0.344,0.463,0.807,0.086,0.132,0.178,4.0,3,삼진형
알포드,23 LF,0.356,0.456,0.812,0.086,0.256,0.167,3.98,3,삼진형
에레디아,23 LF,0.385,0.461,0.846,0.075,0.143,0.138,3.95,2,컨택형
최형우,23 DH,0.4,0.487,0.887,0.128,0.163,0.185,3.85,2,컨택형
문성주,23 LF,0.392,0.372,0.764,0.125,0.064,0.078,3.69,2,컨택형
박성한,23 SS,0.347,0.366,0.713,0.11,0.106,0.1,3.66,1,혼합형
마틴,23 CF,0.36,0.455,0.815,0.113,0.213,0.172,3.55,3,삼진형
전준우,23 DH,0.381,0.471,0.852,0.093,0.116,0.159,3.53,2,컨택형
